title,rating,review_text,SA
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Negative
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Negative
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
"5.0 out of 5 stars
Love this",5.0 out of 5 stars,"This soaps up really nicely. It has a very slight fragrance and smells great. And I can feel it moisturizing my skin while using it and afterwards as well. I always loves using Dove soap bars but now love the convenience of a liquid in a pump bottle.
Read more",Positive
"5.0 out of 5 stars
Sensitive body wash for my twins",5.0 out of 5 stars,"The pump dispenser is a nice touch, making it convenient to use in the shower without the hassle of flipping open a cap. A small amount goes a long way, and it spreads smoothly across the body without feeling heavy or greasy. It’s also fragrance-free, which is a big plus for my twins because they are sensitive to perfumes in some skincare products. It provides a thorough cleanse while leaving the skin feeling nourished and comfortable. I would highly recommend the Dove Hypoallergenic Sensitive Body Wash to anyone looking for a gentle, moisturizing cleanser that’s safe for sensitive skin types.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive noses",5.0 out of 5 stars,"I have a hard time finding smells that aren't too strong on soap. This leaves my skin feeing so soft and just a hint of fresh smell. Good price for the quality.
Read more",Positive
"5.0 out of 5 stars
Great shower wash, not great for bubble bath, unscented but NOT fragrance free",5.0 out of 5 stars,"I’ve been using this product for years. It’s great for dry skin or eczema.It may not eliminate the need for body lotion after your shower, but it is much milder than most liquid body soaps. It’s a great, affordable sulfate/paraben-free option.A few notes:1) It is “unscented” but not “fragrance free.” There is a very light fragrance added to mask the scent of the other ingredients. It smells pleasantly neutral & doesn’t linger. But if you truly need fragrance free products for allergy reasons, this ain’t it.2) It does not lather as well as other body washes, due to added moisturizers and lack of sulfates. It will still leave you feeling clean and fresh.3) Do not try to use it as a bubble bath. It won’t make bubbles at all. I still take baths with it, but I find that I have to first dispense it into a dish and swish it together with a little water before adding it to the bath. Otherwise “chunks” of product float in the water and it’s gross.
Read more",Positive
"5.0 out of 5 stars
Great for sensitive skin",5.0 out of 5 stars,"This product is wonderful to use.  I have dry and sensitive skin.  It works great.  It lathers well and has a nice aroma.  Rinses off easily
Read more",Positive
"5.0 out of 5 stars
Dove Sensitive",5.0 out of 5 stars,"It's nice and creamy.  It leaves skin soft and smooth, and does not sting or burn certain areas!
Read more",Positive
"4.0 out of 5 stars
Smoothe skin",4.0 out of 5 stars,"Lather well fresh smell and pump easy-to-use, moisturizes your body.
Read more",Positive
"5.0 out of 5 stars
Nice and mild for sensitive skin",5.0 out of 5 stars,"Great price and did not irritate my sensitive skin
Read more",Positive
